"","names.NSDUH_2020."
"913","difobtlsd"
"914","APPDRGMON2"
"915","blntever"
"916","blntage"
"917","blntyfu"
"918","blntmfu"
"919","blntrec"
"920","BLRECFL2"
"921","BLNT30DY"
"922","BLNT30C1"
"923","BLNT30C2"
"924","rsnomrj"
"925","rsnmrjmo"
"926","blntnomj"
"927","medmjyr"
"928","medmjall"
"929","MEDMJPA2"
"930","cigirtbl"
"931","cigcrave"
"932","cigcragp"
"933","ciginctl"
"934","cigavoid"
"935","cigfnsmk"
"936","cigfnlke"
"937","cigplane"
"938","cigrnout"
"939","cigregdy"
"940","cigregwk"
"941","cigregnm"
"942","cignmchg"
"943","cigsvlhr"
"944","ciginflu"
"945","cignoinf"
"946","cigincrs"
"947","cigsatis"
"948","ciglotmr"
"949","cigwake"
"950","alclottm"
"951","alcgtovr"
"952","alclimit"
"953","alckplmt"
"954","alcndmor"
"955","alclsefx"
"956","alccutdn"
"957","alccutev"
"958","ALCCUT1X"
"959","ALCWD2SX"
"960","alcwdsmt"
"961","alcemopb"
"962","alcemctd"
"963","alcphlpb"
"964","alcphctd"
"965","alclsact"
"966","alcserpb"
"967","alcpdang"
"968","alclawtr"
"969","alcfmfpb"
"970","alcfmctd"
"971","mrjlottm"
"972","mrjgtovr"
"973","mrjlimit"
"974","mrjkplmt"
"975","mrjndmor"
"976","mrjlsefx"
"977","mrjcutdn"
"978","mrjcutev"
"979","mrjemopb"
"980","mrjemctd"
"981","mrjphlpb"
"982","mrjphctd"
"983","mrjlsact"
"984","mrjserpb"
"985","mrjpdang"
"986","mrjlawtr"
"987","mrjfmfpb"
"988","mrjfmctd"
"989","coclottm"
"990","cocgtovr"
"991","coclimit"
"992","cockplmt"
"993","cocndmor"
"994","coclsefx"
"995","coccutdn"
"996","coccutev"
"997","COCCUT1X"
"998","cocflblu"
"999","COCWD2SX"
"1000","cocwdsmt"
"1001","cocemopb"
"1002","cocemctd"
"1003","cocphlpb"
"1004","cocphctd"
"1005","coclsact"
"1006","cocserpb"
"1007","cocpdang"
"1008","coclawtr"
"1009","cocfmfpb"
"1010","cocfmctd"
"1011","herlottm"
"1012","hergtovr"
